case_id,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept,severity,evidence_source,verified
CASE001,PC in VLAN 10 cannot reach another host in VLAN 10.,Access switch with two PCs in VLAN 10.,REPLACE WITH ACTUAL PACKET TRACER/LAB SHOW OUTPUTS,VLAN 10 missing or port assigned to wrong VLAN.,Layer 2,VLAN,Medium,Packet Tracer / lab,NO
CASE002,PC in VLAN 20 cannot reach its default gateway.,PC connected to access switch; gateway is router SVI.,REPLACE WITH ACTUAL PACKET TRACER/LAB SHOW OUTPUTS,Access-port VLAN mismatch or gateway/SVI VLAN issue.,Layer 2/3,VLAN/Gateway,High,Packet Tracer / lab,NO
CASE003,PC receives an IP but cannot reach the default gateway.,DHCP client connected to access switch.,REPLACE WITH ACTUAL PACKET TRACER/LAB SHOW OUTPUTS,Wrong default gateway configuration.,Layer 3,Gateway,High,Packet Tracer / lab,NO
CASE004,PC has an address from the wrong subnet.,DHCP client on an access VLAN.,REPLACE WITH ACTUAL PACKET TRACER/LAB SHOW OUTPUTS,DHCP pool/network mismatch.,Layer 3,DHCP,High,Packet Tracer / lab,NO
CASE005,PC remains at 169.254.x.x after DHCP request.,DHCP client connected to a switch.,REPLACE WITH ACTUAL PACKET TRACER/LAB SHOW OUTPUTS,DHCP server/pool unavailable or relay path broken.,Layer 3,DHCP,High,Packet Tracer / lab,NO
CASE006,Only one VLAN fails to obtain DHCP addresses.,Multiple VLANs share a DHCP server.,REPLACE WITH ACTUAL PACKET TRACER/LAB SHOW OUTPUTS,Missing DHCP relay/helper on affected VLAN interface.,Layer 3,DHCP,High,Packet Tracer / lab,NO
CASE007,Host can ping an IP address but not the hostname.,DNS server is reachable from the host.,REPLACE WITH ACTUAL PACKET TRACER/LAB SHOW OUTPUTS,DNS server address or DNS service configuration problem.,Layer 7,DNS,Medium,Packet Tracer / lab,NO
CASE008,All hosts in one VLAN cannot resolve names.,DNS server reachable from other VLANs.,REPLACE WITH ACTUAL PACKET TRACER/LAB SHOW OUTPUTS,ACL or routing prevents DNS traffic.,Layer 3/4,DNS/ACL,High,Packet Tracer / lab,NO
CASE009,PC can reach gateway but not remote subnet.,Router connects local and remote networks.,REPLACE WITH ACTUAL PACKET TRACER/LAB SHOW OUTPUTS,Missing route to remote network.,Layer 3,Routing,High,Packet Tracer / lab,NO
CASE010,Remote network is reachable from router but not from PCs.,PC VLAN connected to router.,REPLACE WITH ACTUAL PACKET TRACER/LAB SHOW OUTPUTS,Incorrect default gateway on clients.,Layer 3,Gateway/Routing,High,Packet Tracer / lab,NO
CASE011,Static route exists but remote network is still unreachable.,Two-router topology.,REPLACE WITH ACTUAL PACKET TRACER/LAB SHOW OUTPUTS,Incorrect next-hop or exit interface in route.,Layer 3,Routing,High,Packet Tracer / lab,NO
CASE012,A trunk link is up but one VLAN does not pass.,Two switches connected by trunk.,REPLACE WITH ACTUAL PACKET TRACER/LAB SHOW OUTPUTS,VLAN not allowed on trunk.,Layer 2,VLAN,High,Packet Tracer / lab,NO
CASE013,Hosts in different VLANs cannot communicate.,Router-on-a-stick topology.,REPLACE WITH ACTUAL PACKET TRACER/LAB SHOW OUTPUTS,Trunk encapsulation/native VLAN/subinterface mismatch.,Layer 2/3,VLAN/Routing,High,Packet Tracer / lab,NO
CASE014,A newly configured VLAN is not visible on the switch.,Access switch with new VLAN configuration.,REPLACE WITH ACTUAL PACKET TRACER/LAB SHOW OUTPUTS,VLAN was not created or configuration was not saved/applied.,Layer 2,VLAN,Medium,Packet Tracer / lab,NO
CASE015,Interface connected to a host shows down/down.,Switch connected to end device.,REPLACE WITH ACTUAL PACKET TRACER/LAB SHOW OUTPUTS,Interface administratively disabled or physical link problem.,Layer 1/2,Interface,Medium,Packet Tracer / lab,NO
CASE016,Interface shows administratively down.,Switch port should connect to a host.,REPLACE WITH ACTUAL PACKET TRACER/LAB SHOW OUTPUTS,Port is shutdown.,Layer 1/2,Interface,Medium,Packet Tracer / lab,NO
CASE017,A host can reach internal server but not the internet.,NAT router connects inside LAN to outside.,REPLACE WITH ACTUAL PACKET TRACER/LAB SHOW OUTPUTS,Missing or incorrect NAT/PAT configuration.,Layer 3/4,NAT,High,Packet Tracer / lab,NO
CASE018,Internet access works for one subnet but not another.,Router performs NAT for multiple inside networks.,REPLACE WITH ACTUAL PACKET TRACER/LAB SHOW OUTPUTS,NAT rule/ACL does not include affected subnet.,Layer 3/4,NAT,High,Packet Tracer / lab,NO
CASE019,Inside hosts have connectivity but translated addresses are absent.,Edge router with NAT.,REPLACE WITH ACTUAL PACKET TRACER/LAB SHOW OUTPUTS,NAT configuration or matching ACL is missing.,Layer 3/4,NAT,High,Packet Tracer / lab,NO
CASE020,User can reach gateway but cannot reach web server.,Router ACL is configured between client and server.,REPLACE WITH ACTUAL PACKET TRACER/LAB SHOW OUTPUTS,ACL denies required traffic.,Layer 3/4,ACL,High,Packet Tracer / lab,NO
CASE021,Ping works but HTTP access fails.,ACL filters application traffic.,REPLACE WITH ACTUAL PACKET TRACER/LAB SHOW OUTPUTS,ACL blocks TCP/80 or equivalent web traffic.,Layer 4,ACL,High,Packet Tracer / lab,NO
CASE022,Only one client is blocked while others work.,ACL applied on router interface.,REPLACE WITH ACTUAL PACKET TRACER/LAB SHOW OUTPUTS,ACL rule matches the affected source address.,Layer 3/4,ACL,High,Packet Tracer / lab,NO
CASE023,Guest Wi-Fi client can reach an internal server.,Guest SSID mapped to guest VLAN.,REPLACE WITH ACTUAL PACKET TRACER/LAB SHOW OUTPUTS,Guest isolation ACL/VLAN policy is missing.,Layer 2/3,Wireless/ACL,Critical,Packet Tracer / lab,NO
CASE024,Wireless client associates but receives no IP.,AP connected to switch; DHCP server exists.,REPLACE WITH ACTUAL PACKET TRACER/LAB SHOW OUTPUTS,Wireless VLAN/DHCP path is misconfigured.,Layer 2/3,Wireless/DHCP,High,Packet Tracer / lab,NO
CASE025,Wireless clients frequently lose connectivity.,AP connected to switch.,REPLACE WITH ACTUAL PACKET TRACER/LAB SHOW OUTPUTS,Channel/interference or unstable AP/link configuration.,Layer 1/2,Wireless,Medium,Packet Tracer / lab,NO
CASE026,A switch port is in the wrong VLAN.,PC should belong to a specific access VLAN.,REPLACE WITH ACTUAL PACKET TRACER/LAB SHOW OUTPUTS,Access VLAN assignment is incorrect.,Layer 2,VLAN,Medium,Packet Tracer / lab,NO
CASE027,Default gateway responds but remote DNS server does not.,Router connects client network to DNS server network.,REPLACE WITH ACTUAL PACKET TRACER/LAB SHOW OUTPUTS,Routing/ACL prevents traffic to DNS server.,Layer 3/4,Routing/DNS,High,Packet Tracer / lab,NO
CASE028,Two hosts have the same IP address.,Two end hosts on same LAN.,REPLACE WITH ACTUAL PACKET TRACER/LAB SHOW OUTPUTS,Duplicate IP address configuration.,Layer 2/3,IP Addressing,High,Packet Tracer / lab,NO
CASE029,Host subnet mask prevents communication with local peer.,Host and peer use same intended subnet but host mask differs.,REPLACE WITH ACTUAL PACKET TRACER/LAB SHOW OUTPUTS,Incorrect subnet mask on host.,Layer 3,Gateway/IP Addressing,Medium,Packet Tracer / lab,NO
CASE030,Router has no route for a directly expected remote network.,Two-router lab with remote LAN.,REPLACE WITH ACTUAL PACKET TRACER/LAB SHOW OUTPUTS,Remote network route is missing.,Layer 3,Routing,High,Packet Tracer / lab,NO
