case_id,evidence_status,source_type,source_name,source_url,local_file,evidence_reference,evidence_text,verification_notes
CASE001,REFERENCE,GitHub lab guide,CCNA Networking Portfolio - VLAN & Inter-VLAN Routing,https://github.com/jahsonjb/CCNA-Networking-Portfolio/tree/main/switching-labs/vlan-intervlan,evidence/public-labs/portfolio/vlan-intervlan-LAB_GUIDE.md,VLAN creation and access-port assignment sections,The guide documents VLAN creation and access-port assignment and links a wrong-VLAN troubleshooting variant.; Reference material only; no independent execution or command transcript.,See evidence_text; source artifact remains unverified.
CASE002,VERIFIED,Public lab evidence + paired solution,CCNA Networking Portfolio - Variant 1 Wrong VLAN Assignment,https://github.com/jahsonjb/CCNA-Networking-Portfolio/tree/main/switching-labs/vlan-intervlan/variant1-broken,evidence/public-labs/portfolio/vlan-variant1-broken-README.md,Explicit wrong access VLAN; failed gateway ping; corrected Gi0/2 VLAN 20; successful gateway/inter-VLAN pings,The broken README identifies PC2 on Gi0/2 in the wrong VLAN and failed ping to 192.168.20.1; the fixed README documents switchport access vlan 20 and successful gateway and inter-VLAN pings; failure and success screenshots were inspected. Screenshots: evidence/public-labs/portfolio/vlan-variant1-broken-pc2-ping-fail.png and evidence/public-labs/portfolio/vlan-variant1-fixed/successful_ping.png.,Verified from paired public lab documentation and screenshots; not independently rerun in Packet Tracer.
CASE003,VERIFIED,Public lab evidence + paired solution,CCNA Networking Portfolio - Variant 3 Wrong Default Gateway,https://github.com/jahsonjb/CCNA-Networking-Portfolio/tree/main/switching-labs/vlan-intervlan/variant3-broken,evidence/public-labs/portfolio/vlan-variant3-broken/README.md,Explicit wrong gateway; failed PC2-to-PC1 ping; corrected gateway 192.168.20.1; successful ping,The broken README identifies PC2's wrong default gateway and failed ping; the fixed README documents gateway 192.168.20.1 and successful PC2-to-PC1 ping; failure and success screenshots were inspected. Screenshots: evidence/public-labs/portfolio/vlan-variant3-broken/pc2_ping_fail.png and evidence/public-labs/portfolio/vlan-variant3-fixed/good_ping.png.,Verified from paired public lab documentation and screenshots; not independently rerun in Packet Tracer.
CASE004,REFERENCE,Packet Tracer lab,Simple DHCP server with IP helper-address,https://github.com/LuqmanKt98/Cisco-Packet-Tracer/blob/main/Simple%20DHCP%20server%20with%20IP%20helper-address.pkt,evidence/public-labs/luqman/Simple-DHCP-helper-address.pkt,Public repository file listing,The repository provides a Packet Tracer lab whose name directly identifies DHCP and IP helper-address configuration.; Binary lab was not independently opened or verified.,See evidence_text; source artifact remains unverified.
CASE005,REFERENCE,Packet Tracer lab,Simple DHCP server with IP helper-address,https://github.com/LuqmanKt98/Cisco-Packet-Tracer/blob/main/Simple%20DHCP%20server%20with%20IP%20helper-address.pkt,evidence/public-labs/luqman/Simple-DHCP-helper-address.pkt,Public repository file listing,The lab is relevant to DHCP availability and relay-path troubleshooting by its stated filename.; Binary lab was not independently opened or verified.,See evidence_text; source artifact remains unverified.
CASE006,REFERENCE,Packet Tracer lab,Simple DHCP server with IP helper-address,https://github.com/LuqmanKt98/Cisco-Packet-Tracer/blob/main/Simple%20DHCP%20server%20with%20IP%20helper-address.pkt,evidence/public-labs/luqman/Simple-DHCP-helper-address.pkt,Public repository file listing,The lab is directly relevant to a missing helper-address scenario by its stated filename.; Binary lab was not independently opened or verified.,See evidence_text; source artifact remains unverified.
CASE007,REFERENCE,Packet Tracer lab listing,DHCP + INTERVLAN + DNS + EMAIL,https://github.com/LuqmanKt98/Cisco-Packet-Tracer/blob/main/DHCP%20%2B%20INTERVLAN%20%2B%20DNS%20%2B%20EMAIL.pkt,,Public repository file listing,The public repository lists a Packet Tracer lab containing DHCP; inter-VLAN; and DNS components.; No DNS output or exact fault was available for inspection.,See evidence_text; source artifact remains unverified.
CASE008,REFERENCE,Packet Tracer lab listing,DHCP + INTERVLAN + DNS + EMAIL,https://github.com/LuqmanKt98/Cisco-Packet-Tracer/blob/main/DHCP%20%2B%20INTERVLAN%20%2B%20DNS%20%2B%20EMAIL.pkt,,Public repository file listing,The listed lab includes inter-VLAN and DNS components and may support a DNS path investigation.; No ACL/routing fault output was available for inspection.,See evidence_text; source artifact remains unverified.
CASE009,REFERENCE,GitHub routing lab,CCNA Networking Portfolio - Static vs OSPF,https://github.com/jahsonjb/CCNA-Networking-Portfolio/tree/main/routing-labs/static-vs-ospf,evidence/public-labs/portfolio/static-vs-ospf-README.md,Static routing and remote LAN ping sections,The guide documents a multi-router topology; static routes; routing tables; and end-to-end tests.; Reference material only; the broken route state was not independently reproduced.,See evidence_text; source artifact remains unverified.
CASE010,REFERENCE,GitHub troubleshooting lab,Packet Tracer LAN Troubleshooting Challenge,https://github.com/Maro7420/PacketTracer-Troubleshooting-Challenge,evidence/public-labs/challenge/README.md,Topology and connectivity objectives,The challenge documents PCs; a router; switches; a web server; VLANs; gateways; subnetting; and restored connectivity.; The repository result is a challenge description; exact client gateway fault was not independently inspected.,See evidence_text; source artifact remains unverified.
CASE011,REFERENCE,GitHub routing lab,CCNA Networking Portfolio - Static vs OSPF,https://github.com/jahsonjb/CCNA-Networking-Portfolio/tree/main/routing-labs/static-vs-ospf,evidence/public-labs/portfolio/static-vs-ospf-README.md,Static route configuration and route verification sections,The guide documents static routes with next-hop addresses and routing verification commands.; The source describes a working lab; not this exact injected incorrect-route fault.,See evidence_text; source artifact remains unverified.
CASE012,REFERENCE,GitHub lab guide,CCNA Networking Portfolio - VLAN & Inter-VLAN Routing,https://github.com/jahsonjb/CCNA-Networking-Portfolio/tree/main/switching-labs/vlan-intervlan,evidence/public-labs/portfolio/vlan-intervlan-LAB_GUIDE.md,Trunk configuration and troubleshooting variants,The guide documents a trunk link and a missing-trunk broken variant relevant to VLAN transport.; It does not directly document an allowed-VLAN-list fault.,See evidence_text; source artifact remains unverified.
CASE013,REFERENCE,GitHub lab guide,CCNA Networking Portfolio - VLAN & Inter-VLAN Routing,https://github.com/jahsonjb/CCNA-Networking-Portfolio/tree/main/switching-labs/vlan-intervlan,evidence/public-labs/portfolio/vlan-intervlan-LAB_GUIDE.md,Router-on-a-stick subinterfaces and trunk configuration,The guide documents dot1Q subinterfaces; trunking; and inter-VLAN ping tests.; Reference material only; no mismatch output was independently verified.,See evidence_text; source artifact remains unverified.
